"posteam","total_passing_yards","year"
"TEN",3512,2023
"WAS",4174,2023
NA,0,2023
"ARI",3859,2024
"ATL",4283,2024
"BAL",4189,2024
"BUF",3938,2024
"CAR",3411,2024
"CHI",3552,2024
"CIN",4918,2024
"CLE",3879,2024
"DAL",4092,2024
"DEN",3808,2024
"DET",4718,2024
"GB",3939,2024
"HOU",3952,2024
"IND",3599,2024
"JAX",3717,2024
"KC",4046,2024
"LA",4096,2024
"LAC",3901,2024
"LV",4117,2024
"MIA",4036,2024
"MIN",4379,2024
"NE",3343,2024
"NO",3730,2024
"NYG",3521,2024
"NYJ",4016,2024
"PHI",3517,2024
"PIT",3607,2024
"SEA",4379,2024
"SF",4424,2024
"TB",4505,2024
"TEN",3621,2024
"WAS",3932,2024
NA,0,2024
